"";"Y2009";"Y2014";"Y2019"
"ELEC";6,99601082531113;7,54360752201235;7,74053145904135
"EAU";5,24270453327819;8,86939737967547;8,10947545813928
"BATI";10,1926710873392;4,48692428947331;5,01211772682595
"BAIN";9,08676529875742;8,40173462883104;8,27748572806283
"WC";9,00517438179803;8,6038016504836;8,48295840035014
"MAL";6,38393687184971;6,58926086085152;6,54024638464752
"REFRI";7,57233664992994;8,09370681511902;8,02840311365406
"CLIM";5,56118535702871;5,8895887286458;5,99593125142435
"CHOS";4,11203012972282;4,34156039705784;4,01554995724655
"TFIXE";5,84468050033404;6,0280452952754;6,50974412697886
"INTER";6,44745822400759;6,68658488516421;6,56666572864127
"VOIT";5,88241259076254;6,05096290886152;6,11410949804911
"BATO";8,86586840887339;9,2373352124565;9,34468690159748
"DEROU";8,8067651410072;9,17748942609239;9,26209426534131
